name,url,description,duration,remote_support,adaptive_support,test_type
HiPo Unlocking Potential Report 2.0,https://www.shl.com/products/product-catalog/view/hipo-unlocking-potential-report-2-0/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Competencies
Housekeeping (New),https://www.shl.com/products/product-catalog/view/housekeeping-new/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Knowledge & Skills
HTML/CSS (New),https://www.shl.com/products/product-catalog/view/htmlcss-new/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Knowledge & Skills
HTML5 (New),https://www.shl.com/products/product-catalog/view/html5-new/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Knowledge & Skills
Human Resources (New),https://www.shl.com/products/product-catalog/view/human-resources-new/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Knowledge & Skills
IBM DataStage (New),https://www.shl.com/products/product-catalog/view/ibm-datastage-new/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Knowledge & Skills
IBM Sterling Order Management System (New),https://www.shl.com/products/product-catalog/view/ibm-sterling-order-management-system-new/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Knowledge & Skills
Industrial Engineering (New),https://www.shl.com/products/product-catalog/view/industrial-engineering-new/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Knowledge & Skills
Informatica (Architecture) (New),https://www.shl.com/products/product-catalog/view/informatica-architecture-new/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Knowledge & Skills
Informatica (Developer) (New),https://www.shl.com/products/product-catalog/view/informatica-developer-new/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Knowledge & Skills
Instrumentation Engineering (New),https://www.shl.com/products/product-catalog/view/instrumentation-engineering-new/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Knowledge & Skills
Interpersonal Communications,https://www.shl.com/products/product-catalog/view/interpersonal-communications/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,Yes,Knowledge & Skills
Interviewing and Hiring Concepts (U.S.),https://www.shl.com/products/product-catalog/view/interviewing-and-hiring-concepts-u-s/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,Yes,Knowledge & Skills
iOS Development (New),https://www.shl.com/products/product-catalog/view/ios-development-new/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Knowledge & Skills
ITIL (IT Infrastructure Library) (New),https://www.shl.com/products/product-catalog/view/itil-it-infrastructure-library-new/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Knowledge & Skills
Java 2 Platform Enterprise Edition 1.4 Fundamental,https://www.shl.com/products/product-catalog/view/java-2-platform-enterprise-edition-1-4-fundamental/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,Yes,Knowledge & Skills
Java 8 (New),https://www.shl.com/products/product-catalog/view/java-8-new/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Knowledge & Skills
Java Design Patterns (New),https://www.shl.com/products/product-catalog/view/java-design-patterns-new/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Knowledge & Skills
Java Frameworks (New),https://www.shl.com/products/product-catalog/view/java-frameworks-new/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Knowledge & Skills
